,Department,Object Name,Title,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Classification,Link Resource,Artist_Surname,Artist_First_Name
10417,American Paintings and Sculpture,Painting,Spring,1848      ,1927      ,1885,1886,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11279,Jones, H. Bolton
10419,American Paintings and Sculpture,Painting,Arthur Hoppock Hearn,1872      ,1945      ,1905,1911,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11281,Jongers, Alphonse
10420,American Paintings and Sculpture,Painting,Louise,1872      ,1945      ,1905,1909,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11282,Jongers, Alphonse
10422,American Paintings and Sculpture,Painting,John Grimes,1788      ,1827      ,1821,1824,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/11284,Jouett, Matthew Harris
10425,American Paintings and Sculpture,Painting,On to Liberty,1814      ,1896      ,1867,1867,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11287,Kaufmann, Theodor
10427,American Paintings and Sculpture,Painting,Approaching Storm,1839      ,1911      ,1880,1880,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11289,Keith, William
10428,American Paintings and Sculpture,Painting,"Yosemite Falls, from Glacier Point",1839      ,1911      ,1879,1879,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11290,Keith, William
10434,American Paintings and Sculpture,Painting,The American Star (George Washington),1755      ,1821      ,1800,1803,Oil and gold leaf on paper,Paintings,http://www.metmuseum.org/art/collection/search/11301,Kemmelmeyer, Frederick
10435,American Paintings and Sculpture,Painting,"Washington Reviewing the Western Army at Fort Cumberland, Maryland",1755      ,1821      ,1796,1805,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11302,Kemmelmeyer, Frederick
10436,American Paintings and Sculpture,Painting,Psyche,1869      ,1938      ,1909,1909,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11303,Kendall, William Sergeant
10437,American Paintings and Sculpture,Painting,The Seer,1869      ,1938      ,1906,1906,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11304,Kendall, William Sergeant
10440,American Paintings and Sculpture,Painting,"Eaton's Neck, Long Island",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11307,Kensett, John Frederick
10441,American Paintings and Sculpture,Painting,A Foggy Sky,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11308,Kensett, John Frederick
10442,American Paintings and Sculpture,Painting,Gathering Storm on Long Island Sound,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11309,Kensett, John Frederick
10443,American Paintings and Sculpture,Painting,Hudson River Scene,1816      ,1872      ,1857,1857,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11310,Kensett, John Frederick
10444,American Paintings and Sculpture,Painting,Lake George,1816      ,1872      ,1869,1869,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11311,Kensett, John Frederick
10445,American Paintings and Sculpture,Painting,"Lake George, 1872",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11312,Kensett, John Frederick
10446,American Paintings and Sculpture,Painting,"Lake George, A Reminiscence",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11313,Kensett, John Frederick
10447,American Paintings and Sculpture,Painting,"Lake George, Free Study",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11314,Kensett, John Frederick
10448,American Paintings and Sculpture,Painting,"Lake George, New York",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11315,Kensett, John Frederick
10449,American Paintings and Sculpture,Painting,Newport Rocks,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11316,Kensett, John Frederick
10450,American Paintings and Sculpture,Painting,October in the Marshes,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11317,Kensett, John Frederick
10451,American Paintings and Sculpture,Painting,"The Old Pine, Darien, Connecticut",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11318,Kensett, John Frederick
10452,American Paintings and Sculpture,Painting,Passing off of the Storm,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11319,Kensett, John Frederick
10453,American Paintings and Sculpture,Painting,Salt Meadow in October,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11320,Kensett, John Frederick
10454,American Paintings and Sculpture,Painting,The Sea,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11321,Kensett, John Frederick
10455,American Paintings and Sculpture,Painting,Study of Beeches,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11322,Kensett, John Frederick
10456,American Paintings and Sculpture,Painting,Summer Day on Conesus Lake,1816      ,1872      ,1870,1870,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11323,Kensett, John Frederick
10457,American Paintings and Sculpture,Painting,Sunset,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11324,Kensett, John Frederick
10458,American Paintings and Sculpture,Painting,Sunset on the Sea,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11325,Kensett, John Frederick
10459,American Paintings and Sculpture,Painting,Sunset Sky,1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11326,Kensett, John Frederick
10461,American Paintings and Sculpture,Painting,"Twilight in the Cedars at Darien, Connecticut",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11328,Kensett, John Frederick
10462,American Paintings and Sculpture,Painting,"Twilight on the Sound, Darien, Connecticut",1816      ,1872      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11329,Kensett, John Frederick
10465,American Paintings and Sculpture,Painting,Ivory-billed Woodpeckers,1808      ,1889      ,1827,1831,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11332,Kidd, Joseph Bartholomew
10468,American Paintings and Sculpture,Painting,Charles Henry Augustus Carter,1822      ,1894      ,1842,1845,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11347,Kittell, Nicholas Biddle
10469,American Paintings and Sculpture,Painting,Rosa Bonheur,1856      ,1942      ,1898,1898,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11348,Klumpke, Anna
10471,American Paintings and Sculpture,Painting,Portrait of a Lady,1815      ,1863      ,1861,1861,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11365,Kyle, Joseph
10472,American Paintings and Sculpture,Painting,Self-portrait,1815      ,1863      ,1856,1859,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11366,Kyle, Joseph
10476,American Paintings and Sculpture,Painting,"Autumn Study, View over Hanging Rock, Newport, R.I.",1835      ,1910      ,1868,1868,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11370,La Farge, John
10485,American Paintings and Sculpture,Painting,The Muse of Painting,1835      ,1910      ,1870,1870,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11379,La Farge, John
10489,American Paintings and Sculpture,Painting,Portrait of the Painter,1835      ,1910      ,1859,1859,Oil on wood panel,Paintings,http://www.metmuseum.org/art/collection/search/11383,La Farge, John
10498,American Paintings and Sculpture,Painting,Roses,1830      ,1896      ,1878,1878,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/11392,Lambdin, George Cochran
10499,American Paintings and Sculpture,Painting,Side of a Greenhouse,1830      ,1896      ,1867,1880,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11393,Lambdin, George Cochran
10501,American Paintings and Sculpture,Painting,The Golden State Entering New York Harbor,1804      ,1865      ,1854,1854,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11395,Lane, Fitz Henry
10502,American Paintings and Sculpture,Painting,Stage Fort across Gloucester Harbor,1804      ,1865      ,1862,1862,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11396,Lane, Fitz Henry
10503,American Paintings and Sculpture,Painting,The Basket Maker,1814      ,1893      ,1853,1853,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11397,Lang, Louis
10506,American Paintings and Sculpture,Painting,The Meadows,1859      ,1938      ,1897,1897,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11403,Lathrop, William Langson
10508,American Paintings and Sculpture,Painting,The Bronx River,1873      ,1939      ,1910,1910,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11405,Lawson, Ernest
10509,American Paintings and Sculpture,Painting,Henry Inman,1822      ,1891      ,1834,1840,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11406,Lazarus, Jacob Hart
10510,American Paintings and Sculpture,Painting,Joseph W. Drexel,1822      ,1891      ,1877,1877,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11407,Lazarus, Jacob Hart
10511,American Paintings and Sculpture,Painting,Self-portrait,1822      ,1891      ,1870,1880,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11408,Lazarus, Jacob Hart
10512,American Paintings and Sculpture,Painting,Amory Sibley Carhart,1818      ,1882      ,1857,1865,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11409,Le Clear, Thomas
10513,American Paintings and Sculpture,Painting,William Cullen Bryant,1818      ,1882      ,1876,1876,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11411,Le Clear, Thomas
10519,American Paintings and Sculpture,Painting,Washington Crossing the Delaware,1816      ,1868      ,1851,1851,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11417,Leutze, Emanuel
10520,American Paintings and Sculpture,Painting,Worthington Whittredge,1816      ,1868      ,1856,1856,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11418,Leutze, Emanuel
10532,American Paintings and Sculpture,Painting,The Old Factory,1867      ,1944      ,1932,1932,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11431,Lillie, John
10534,American Paintings and Sculpture,Painting,William Popham,1802      ,1888      ,1842,1845,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11433,Linen, George
10536,American Paintings and Sculpture,Painting,Patrick Cardinal Hayes,1870      ,1957      ,1931,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11436,Lockman, De Witt McClellan
10537,American Paintings and Sculpture,Painting,Peonies,1861      ,1914      ,1907,1910,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11437,Lockwood, Wilton
10545,American Paintings and Sculpture,Painting,John Quincy Adams Ward,1831      ,1895      ,1863,1863,Oil on panel,Paintings,http://www.metmuseum.org/art/collection/search/11448,Loop, Henry Augustus
10548,American Paintings and Sculpture,Painting,Aurora,1853      ,1932      ,1894,1894,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11451,Low, Will H.
10553,American Paintings and Sculpture,Painting,Auguste Rodin,1866      ,1912      ,1910,1910,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11470,MacCameron, Robert
10554,American Paintings and Sculpture,Painting,The Daughter's Return,1866      ,1912      ,1909,1909,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11471,MacCameron, Robert
10562,American Paintings and Sculpture,Painting,Madonna of Giverny,1863      ,1937      ,1901,1901,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11480,MacMonnies, Frederick William
10563,American Paintings and Sculpture,Painting,May Suydam Palmer,1863      ,1937      ,1900,1903,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11481,MacMonnies, Frederick William
10565,American Paintings and Sculpture,Painting,Self-portrait,1863      ,1937      ,1904,1904,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11483,MacMonnies, Frederick William
10577,American Paintings and Sculpture,Painting,On the Old Sod,1838      ,1918      ,1879,1879,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11495,Magrath, William
10590,American Paintings and Sculpture,Painting,Jeremiah Platt,1739      ,1803      ,1767,1767,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11512,Mare, John
10592,American Paintings and Sculpture,Painting,"Behind Dunes, Lake Ontario",1836      ,1897      ,1883,1887,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11515,Martin, Homer Dodge
10594,American Paintings and Sculpture,Painting,Old Manor of Criqueboeuf,1836      ,1897      ,1879,1892,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11517,Martin, Homer Dodge
10595,American Paintings and Sculpture,Painting,View on the Seine: Harp of the Winds,1836      ,1897      ,1893,1895,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11518,Martin, Homer Dodge
10597,American Paintings and Sculpture,Painting,Afternoon among the Cypress,1860      ,1945      ,1902,1905,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11521,Mathews, Arthur Frank
10600,American Paintings and Sculpture,Painting,"Old Annapolis, Francis Street",1827      ,1899      ,1876,1876,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11524,Mayer, Francis Blackwell
10601,American Paintings and Sculpture,Painting,In Strange Seas,1843      ,1923      ,1889,1889,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11525,Maynard, George Willoughby
10614,American Paintings and Sculpture,Painting,Saturday Afternoon,1828      ,1891      ,1875,1875,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11543,McEntee, Jervis
10624,American Paintings and Sculpture,Painting,"Old Brewery, Five Points Mission, New York",Unknown,Unknown,1870,1870,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11553,Mead, F. A.
10626,American Paintings and Sculpture,Painting,In the Studio (Gari Melchers and Hugo Reisinger),1860      ,1932      ,1912,1912,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11555,Melchers, Gari
10627,American Paintings and Sculpture,Painting,Madonna,1860      ,1932      ,1906,1907,Oil on paper mounted on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11556,Melchers, Gari
10628,American Paintings and Sculpture,Painting,Hillside Pastures—September,1858      ,1925      ,1922,1922,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11557,Metcalf, Willard
10629,American Paintings and Sculpture,Painting,The North Country,1858      ,1925      ,1923,1923,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11558,Metcalf, Willard
10638,American Paintings and Sculpture,Painting,A Cosey Corner,1846      ,1912      ,1884,1884,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11583,Millet, Frank
10639,American Paintings and Sculpture,Painting,Appraisement,1855      ,1930      ,1887,1888,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/11584,Moeller, Louis
10640,American Paintings and Sculpture,Painting,A Discussion,1855      ,1930      ,1887,1895,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11585,Moeller, Louis
10641,American Paintings and Sculpture,Painting,Sculptor's Studio,1855      ,1930      ,1880,1880,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11586,Moeller, Louis
10642,American Paintings and Sculpture,Painting,Henry Clay,1808      ,1885      ,1843,1843,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11587,Moise, Theodore Sidney
10644,American Paintings and Sculpture,Painting,Flowers of the Field,1874      ,1940      ,1913,1913,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11589,Mora, F. Luis
10646,American Paintings and Sculpture,Painting,The National Academy Jury of 1907,1874      ,1940      ,1907,1907,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11591,Mora, F. Luis
10652,American Paintings and Sculpture,Painting,Marine,1829      ,1901      ,1868,1871,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11597,Moran, Edward
10653,American Paintings and Sculpture,Painting,Lake Como,1837      ,1926      ,1867,1867,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11598,Moran, Thomas
10655,American Paintings and Sculpture,Painting,The Teton Range,1837      ,1926      ,1897,1897,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11600,Moran, Thomas
10657,American Paintings and Sculpture,Painting,De Witt Clinton,1791      ,1872      ,1826,1826,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11602,Morse, Samuel F. B.
10659,American Paintings and Sculpture,Painting,Mrs. Daniel DeSaussure Bacot,1791      ,1872      ,1817,1820,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11604,Morse, Samuel F. B.
10660,American Paintings and Sculpture,Painting,Susan Walker Morse (The Muse),1791      ,1872      ,1833,1837,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11605,Morse, Samuel F. B.
10663,American Paintings and Sculpture,Painting,Just Moved,1841      ,1920      ,1870,1870,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11609,Mosler, Henry
10664,American Paintings and Sculpture,Painting,Job Perit,1763      ,1814      ,1790,1790,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11610,Moulthrop, Reuben
10665,American Paintings and Sculpture,Painting,Sally Sanford Perit,1763      ,1814      ,1790,1790,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11611,Moulthrop, Reuben
10668,American Paintings and Sculpture,Painting,Catherine Brooks Hall,1804      ,1868      ,1827,1830,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11614,Mount, Shepard Alonzo
10673,American Paintings and Sculpture,Painting,Cider Making,1807      ,1868      ,1840,1841,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11619,Mount, William Sidney
10674,American Paintings and Sculpture,Painting,Gideon Tucker,1807      ,1868      ,1830,1830,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11620,Mount, William Sidney
10675,American Paintings and Sculpture,Painting,Great-Grand-Father's Tale of the Revolution—A Portrait of Reverend Zachariah Greene,1807      ,1868      ,1852,1852,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11621,Mount, William Sidney
10677,American Paintings and Sculpture,Painting,Long Island Farmhouses,1807      ,1868      ,1862,1863,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11623,Mount, William Sidney
10678,American Paintings and Sculpture,Painting,Martin Euclid Thompson,1807      ,1868      ,1830,1830,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11624,Mount, William Sidney
10680,American Paintings and Sculpture,Painting,Mrs. Gideon Tucker,1807      ,1868      ,1830,1830,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11626,Mount, William Sidney
10681,American Paintings and Sculpture,Painting,The Raffle (Raffling for the Goose),1807      ,1868      ,1837,1837,Oil on mahogany,Paintings,http://www.metmuseum.org/art/collection/search/11627,Mount, William Sidney
10682,American Paintings and Sculpture,Painting,Harem Scene,1858      ,1928      ,1881,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11628,Mowbray, Henry Siddons
10683,American Paintings and Sculpture,Painting,Landscape,1853      ,1921      ,1877,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11630,Murphy, John Francis
10684,American Paintings and Sculpture,Painting,The Old Barn,1853      ,1921      ,1906,1906,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11631,Murphy, John Francis
10688,American Paintings and Sculpture,Painting,The Mission Tent,1867      ,1940      ,1906,1906,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11635,Myers, Jerome
10689,American Paintings and Sculpture,Painting,A North River Recreation Pier,1867      ,1940      ,1905,1905,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11636,Myers, Jerome
10694,American Paintings and Sculpture,Painting,Street Group,1867      ,1940      ,1920,1923,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11641,Myers, Jerome
10697,American Paintings and Sculpture,Painting,John Haviland,1796      ,1865      ,1828,1828,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11651,Neagle, John
10698,American Paintings and Sculpture,Painting,The Fortune Teller,1827      ,1912      ,1893,1894,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11654,Newman, Robert Loftin
10699,American Paintings and Sculpture,Painting,Hagar and Ishmael,1827      ,1912      ,1893,1894,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11655,Newman, Robert Loftin
10700,American Paintings and Sculpture,Painting,Madonna and Child and Little Saint John,1755      ,1828      ,1893,1894,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11656,Stuart, Gilbert
10701,American Paintings and Sculpture,Painting,The Jade Pool,1869      ,1962      ,1924,1927,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11657,Nichols, Henry Hobart
10702,American Paintings and Sculpture,Painting,Shifting Shadows,1869      ,1962      ,1947,1947,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11658,Nichols, Henry Hobart
10703,American Paintings and Sculpture,Painting,Snow Mountain,1869      ,1962      ,1944,1944,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11659,Nichols, Henry Hobart
10713,American Paintings and Sculpture,Painting,Daughter of William Page (Possibly Anne Page),1811      ,1885      ,1834,1838,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11674,Page, William
10714,American Paintings and Sculpture,Painting,Daughter of William Page (Probably Mary Page),1811      ,1885      ,1837,1840,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11675,Page, William
10721,American Paintings and Sculpture,Painting,Silent Dawn,1854      ,1932      ,1918,1919,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11682,Palmer, Walter Launt
10722,American Paintings and Sculpture,Painting,Mrs. Warren Rogers,1783      ,1833      ,1818,1821,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11683,Paradise, John
10724,American Paintings and Sculpture,Painting,The Errant Pan,1870      ,1966      ,1907,1910,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11685,Parrish, Maxfield
10727,American Paintings and Sculpture,Painting,The Great Abyss,1864      ,1956      ,1907,1912,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11692,Parshall, Dewitt
10732,American Paintings and Sculpture,Painting,Tea Leaves,1869      ,1941      ,1909,1909,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11697,Paxton, William McGregor
10736,American Paintings and Sculpture,Painting,Elie Williams,1741      ,1827      ,1789,1789,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11703,Peale, Charles Willson
10740,American Paintings and Sculpture,Painting,George Washington,1741      ,1827      ,1776,1781,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11707,Peale, Charles Willson
10743,American Paintings and Sculpture,Painting,Margaret Strachan (Mrs. Thomas Harwood),1741      ,1827      ,1768,1771,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11710,Peale, Charles Willson
10745,American Paintings and Sculpture,Painting,Mrs. Samuel Mifflin and Her Granddaughter Rebecca Mifflin Francis,1741      ,1827      ,1777,1780,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11712,Peale, Charles Willson
10746,American Paintings and Sculpture,Painting,Portrait of a Gentleman,1741      ,1827      ,1772,1775,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11713,Peale, Charles Willson
10749,American Paintings and Sculpture,Painting,Portrait of a Woman,1741      ,1827      ,1772,1775,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11716,Peale, Charles Willson
10751,American Paintings and Sculpture,Painting,Samuel Mifflin,1741      ,1827      ,1777,1780,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11718,Peale, Charles Willson
10752,American Paintings and Sculpture,Painting,Thomas Willing,1741      ,1827      ,1782,1782,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11719,Peale, Charles Willson
10756,American Paintings and Sculpture,Painting,George Washington,1749      ,1831      ,1779,1782,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11723,Peale, James
10761,American Paintings and Sculpture,Painting,Martha Stewart Wilson,1749      ,1831      ,1814,1814,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11728,Peale, James
10767,American Paintings and Sculpture,Painting,Still Life: Balsam Apple and Vegetables,1749      ,1831      ,1817,1820,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11734,Peale, James
10770,American Paintings and Sculpture,Painting,Still Life with Cake,1774      ,1825      ,1818,1818,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/11737,Peale, Raphaelle
10772,American Paintings and Sculpture,Painting,George Washington,1778      ,1860      ,1843,1846,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11739,Peale, Rembrandt
10773,American Paintings and Sculpture,Painting,George Washington,1778      ,1860      ,1843,1846,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11740,Peale, Rembrandt
10774,American Paintings and Sculpture,Painting,John Johnston,1778      ,1860      ,1826,1829,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11741,Peale, Rembrandt
10775,American Paintings and Sculpture,Painting,The Marquis de Lafayette,1778      ,1860      ,1825,1825,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11742,Peale, Rembrandt
10776,American Paintings and Sculpture,Painting,Martha Washington,1778      ,1860      ,1847,1850,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11743,Peale, Rembrandt
10777,American Paintings and Sculpture,Painting,The Arab Jeweler,1851      ,1914      ,1879,1882,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11744,Pearce, Charles Sprague
10778,American Paintings and Sculpture,Painting,The Raymond Children,1785      ,1877      ,1835,1838,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11745,Peckham, Robert
10790,American Paintings and Sculpture,Painting,Talking It Over,1831      ,1915      ,1872,1872,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11758,Perry, Enoch Wood
10791,American Paintings and Sculpture,Painting,The True American,1831      ,1915      ,1869,1879,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11759,Perry, Enoch Wood
10793,American Paintings and Sculpture,Painting,Office Board,1854      ,1907      ,1885,1885,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11761,Peto, John F.
10794,American Paintings and Sculpture,Painting,The Old Cremona,1854      ,1907      ,1884,1890,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11762,Peto, John F.
10795,American Paintings and Sculpture,Painting,Old Souvenirs,1854      ,1907      ,1878,1901,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11763,Peto, John F.
10796,American Paintings and Sculpture,Painting,Mrs. Mayer and Daughter,1788      ,1865      ,1835,1840,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11764,Phillips, Ammi
10797,American Paintings and Sculpture,Painting,Philip Slade,1788      ,1865      ,1818,1818,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11765,Phillips, Ammi
10798,American Paintings and Sculpture,Painting,Thomas Storm,1788      ,1865      ,1827,1830,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11766,Phillips, Ammi
10799,American Paintings and Sculpture,Painting,Dr. Stephen Smith,1873      ,1948      ,1917,1930,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/11767,Phillips, Jay Campbell
