,Department,Object Name,Title,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Classification,Link Resource,Artist_Surname,Artist_First_Name
9358,American Paintings and Sculpture,Painting,A Study from Life [and] Study for Angel Releasing Saint Peter from Prison,1779      ,1843      ,1812,1815,Oil on paperboard,Paintings,http://www.metmuseum.org/art/collection/search/10072,Allston, Washington
9361,American Paintings and Sculpture,Painting,Philip Van Cortlandt,1768      ,1836      ,1807,1810,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10075,Ames, Ezra
9362,American Paintings and Sculpture,Painting,James Topham Brady,1816      ,1872      ,1869,1869,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10076,Ames, Joseph Alexander
9363,American Paintings and Sculpture,Painting,The Children of Nathan Starr,1801      ,1877      ,1835,1835,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10077,Andrews, Ambrose
9366,American Paintings and Sculpture,Painting,The Way They Live,1851      ,1912      ,1879,1879,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10080,Anshutz, Thomas
9367,American Paintings and Sculpture,Painting,Hudson's Bay Lemming,1812      ,1862      ,1846,1846,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10081,Audubon, John Woodhouse
9368,American Paintings and Sculpture,Painting,Benjamin Franklin,1826      ,1899      ,1873,1876,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10082,Babcock, William P.
9369,American Decorative Arts,Painting,Portrait of Benjamin Franklin,1826      ,1899      ,1867,1880,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10083,Babcock, William P.
9370,American Decorative Arts,Painting,Portrait of the Marquis de Lafayette,1826      ,1899      ,1850,1880,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10084,Babcock, William P.
9371,American Paintings and Sculpture,Painting,James Badger,1708      ,1765      ,1760,1760,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10085,Badger, Joseph
9372,American Paintings and Sculpture,Painting,New York Harbor with Brooklyn Bridge,1835      ,1935      ,1870,1879,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10087,Baker, G.
9377,American Paintings and Sculpture,Painting,John F. Kensett,1821      ,1880      ,1875,1875,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10092,Baker, George Augustus Jr.
9378,American Paintings and Sculpture,Painting,Mrs. William Loring Andrews,1821      ,1880      ,1861,1863,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10093,Baker, George Augustus Jr.
9398,American Paintings and Sculpture,Painting,American Eagle on Red Scroll,1830      ,1900      ,1860,1900,"Oil on canvas, mounted on masonite",Paintings,http://www.metmuseum.org/art/collection/search/10116,Bean, W. H.
9400,American Paintings and Sculpture,Painting,Ernesta,1855      ,1942      ,1914,1914,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10126,Beaux, Cecilia
9401,American Paintings and Sculpture,Painting,Ernesta (Child with Nurse),1855      ,1942      ,1894,1894,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10127,Beaux, Cecilia
9402,American Paintings and Sculpture,Painting,Mr. and Mrs. Anson Phelps Stokes,1855      ,1942      ,1898,1898,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10128,Beaux, Cecilia
9405,American Paintings and Sculpture,Painting,Lake of Orta,1852      ,1917      ,1910,1911,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10131,Beckwith, J. Carroll
9410,American Paintings and Sculpture,Painting,Mrs. Benjamin Simons,1743      ,1812      ,1768,1776,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10136,Benbridge, Henry
9412,American Paintings and Sculpture,Painting,Portrait of a Gentleman,1743      ,1812      ,1767,1772,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10138,Benbridge, Henry
9416,American Paintings and Sculpture,Painting,Children in Woods,1862      ,1951      ,1905,1905,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10142,Benson, Frank W.
9421,American Paintings and Sculpture,Painting,Portrait of a Lady,1862      ,1951      ,1901,1901,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10147,Benson, Frank W.
9422,American Paintings and Sculpture,Painting,Two Boys,1862      ,1951      ,1926,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10148,Benson, Frank W.
9423,American Paintings and Sculpture,Painting,Canadian Rockies (Lake Louise),1830      ,1902      ,1886,1889,Oil on paper mounted to board,Paintings,http://www.metmuseum.org/art/collection/search/10149,Bierstadt, Albert
9424,American Paintings and Sculpture,Painting,"Merced River, Yosemite Valley",1830      ,1902      ,1866,1866,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10150,Bierstadt, Albert
