,Artist_Surname,Artist_First_Name
10701,Nichols,Henry Hobart
10713,Page,William
10721,Palmer,Walter Launt
10722,Paradise,John
10724,Parrish,Maxfield
10727,Parshall,Dewitt
10732,Paxton,William McGregor
10736,Peale,Charles Willson
10756,Peale,James
10770,Peale,Raphaelle
10772,Peale,Rembrandt
10777,Pearce,Charles Sprague
10778,Peckham,Robert
10790,Perry,Enoch Wood
10793,Peto,John F.
10796,Phillips,Ammi
10799,Phillips,Jay Campbell
10803,Picknell,William Lamb
10806,Pillement,Jean
10807,Pine,Theodore E.
10810,Polk,Charles Peale
10812,Pope,Alexander
10827,Pratt,Matthew
10830,Prendergast,Maurice Brazil
10831,Williams,Esther Baldwin
10853,Quidor,John
10855,Raleigh,Charles Sidney
10867,Ranger,Henry Ward
10870,Rasmussen,John
10871,Redfield,Edward Willis
10872,Reid,Robert
10878,Remington,Frederic
10908,Richards,William Trost
10926,Richardt,Ferdinand
10946,Robinson,Theodore
10950,Roesen,Severin
10966,Rossiter,Thomas Pritchard
10988,Ryder,Chauncey F.
10989,Ryder,Platt Powell
11029,Salmon,Robert
11031,Sargent,John Singer
11289,Curran,Charles Courtney
11538,Schenck,William H.
11545,Schofield,Walter Elmer
11546,Schreyvogel,Charles
11549,Schuyler,Limner
11555,Sexton,Samuel H.
11556,Shannon,James Jebusa
11573,Shaw,Joshua
11576,Shilling,Alexander
11582,Shirlaw,Walter
11603,Smibert,John
11608,Smillie,George Henry
11632,Sonntag,William Louis
11633,Spencer,Frederick R.
11641,Sterner,Albert
11643,Steward,Joseph
11645,Stiepevich,Vincent G.
11646,Stock,Joseph Whiting
11648,Stone,William Oliver
11649,Story,George Henry
11685,Sullivan,M. A.
11688,Sully,Thomas
11706,Sully,Thomas Wilcocks
11761,Symons,George Gardner
11762,Taber,Edward Martin
11763,Tack,Augustus Vincent
11765,Tait,Arthur Fitzwilliam
11770,Talcott,Allen B.
11772,Tarbell,Edmund Charles
11779,Thayer,Abbott H.
11785,Theus,Jeremiah
11789,Thomas,Stephen Seymour
11790,Thompson,Alfred Wordsworth
11791,Thompson,Cephas
11793,Thompson,Cephas Giovanni
11794,Thompson,Jerome B.
11800,Thompson,Thomas
11801,Tiffany,Louis Comfort
11804,Tolman,Stacy
11805,Trego,Jonathan K.
11811,Trumbull,John
11823,Tryon,Dwight William
11827,Tucker,Allen
11834,Twachtman,John Henry
11838,Ulrich,Charles Frederick
11846,Tieling,Lodewijk
11855,Chinese,Painter
11883,Unknown Artist,Unknown
11895,Stanley,John Mix
11945,Vanderlyn,Pieter
11949,Kneller,Godfrey
11973,Whistler,James McNeill
12003,Vanderlyn,John
12017,Vedder,Elihu
12036,Volk,Douglas
12043,Vonnoh,Robert W.
12045,Vos,Hubert
12046,Waite,A. P.
12048,Waldo,Samuel Lovett
12063,Wales,J. C.
12064,Walker,Henry Oliver
12065,Walker,Horatio
12073,Waller,Frank
12076,Ward,Charles Caleb
12077,Ward,Edgar Melville
12107,Watrous,Harry W.
12109,Waugh,Frederick J
12113,Weeks,Edwin Lord
12115,Weir,John Ferguson
12120,Weir,Julian Alden
12129,Weir,Robert Walter
12135,Wentworth,Catherine D.
12138,Wertmuller,Adolph Ulrich
12139,West,Benjamin
12226,White,Edwin
12231,Whittredge,Worthington
12234,Wiles,Irving Ramsey
12246,Williams,William
12248,Wollaston,John
12257,Wood,Joseph
12258,Wood,Thomas Waterman
12263,Woodside,John A.
12265,Wyant,Alexander H.
12272,Yewell,George Henry
12274,Young,Harvey O.
12302,Wores,Theodore
